Price~Bedrooms~Bathrooms~Size~Street Address~Neighborhood~Borough
$2,350/mo~3bd~1ba~1,000 sqft~463 Pennsylvania Ave #1C~East New York~ Brooklyn, NY
$2,700/mo~3bd~1ba~~860 Nostrand Ave #9A~Crown Heights~ Brooklyn, NY
$2,090/mo~3bd~1ba~~794 Thomas S Boyland St~Brownsville~ Brooklyn, NY
$2,350/mo~2bd~1ba~~38 Nostrand Ave #3E~Bedford Stuyvesant~ Brooklyn, NY
$2,300/mo~2bd~1ba~~272 Throop Ave #2F~Bedford Stuyvesant~ Brooklyn, NY
$2,499/mo~2bd~1ba~~257 16th St #1L~Park Slope~ Brooklyn, NY
$1,975/mo~2bd~1ba~~1982 Atlantic Ave #1B~Crown Heights~ Brooklyn, NY
$2,030/mo~2bd~1ba~~5 Westminster Rd #5A~Flatbush~ Brooklyn, NY
$1,999/mo~2bd~1ba~~248 E 54th St #A~East Flatbush~ Brooklyn, NY
$1,695/mo~2bd~1ba~900 sqft~54 Bay 29 St #A17~Bath Beach~ Brooklyn, NY
$2,000/mo~2bd~1ba~1,300 sqft~559 E 3rd St~Kensington~ Brooklyn, NY
$2,595/mo~2bd~1ba~800 sqft~348 S 4th St #4R~Williamsburg~ Brooklyn, NY
$2,650/mo~2bd~1ba~700 sqft~631 Grand Ave #2R~Crown Heights~ Brooklyn, NY
$2,050/mo~2bd~1ba~761 sqft~378 Rutland Rd #1~Prospect Lefferts Gardens~ Brooklyn, NY
$2,500/mo~2bd~1ba~800 sqft~423 16th St #1~Park Slope~ Brooklyn, NY
$2,000/mo~2bd~1ba~~298 E 39th St #2~East Flatbush~ Brooklyn, NY
$2,095/mo~2bd~1ba~~551 Nostrand Ave #FR2~Bedford Stuyvesant~ Brooklyn, NY
$2,100/mo~2bd~1ba~800 sqft~1064 Lafayette Ave #1~Bedford Stuyvesant~ Brooklyn, NY
$2,600/mo~2bd~1ba~900 sqft~45 Maspeth Ave #1~Williamsburg~ Brooklyn, NY
$2,100/mo~2bd~1ba~800 sqft~Address Not Disclosed~Bensonhurst~ Brooklyn, NY
$2,700/mo~2bd~1ba~~206 Calyer St #B1~Greenpoint~ Brooklyn, NY
$2,200/mo~3bd~1ba~900 sqft~420 Van Siclen Ave #3~East New York~ Brooklyn, NY
$2,000/mo~1bd~1ba~~24 Maspeth Ave #2~Williamsburg~ Brooklyn, NY
$1,843/mo~1bd~1ba~~392 1st St #15~Park Slope~ Brooklyn, NY
$2,500/mo~3bd~1ba~1,100 sqft~133 Lott St #2B~Flatbush~ Brooklyn, NY
$1,350/mo~Studio~1ba~~1414 E 12th St #4O~Midwood~ Brooklyn, NY
$2,400/mo~3bd~1ba~~930 De Kalb Ave #107~Bushwick~ Brooklyn, NY
$2,600/mo~3bd~1ba~1,300 sqft~Address Not Disclosed~Marine Park~ Brooklyn, NY
$2,400/mo~3bd~1ba~750 sqft~609 Nostrand Ave #4~Crown Heights~ Brooklyn, NY
$2,400/mo~3bd~1ba~~1082 De Kalb Ave #1R~Bedford Stuyvesant~ Brooklyn, NY
$2,350/mo~3bd~1ba~1,000 sqft~463 Pennsylvania Ave #1C~East New York~ Brooklyn, NY
$2,700/mo~3bd~1ba~~860 Nostrand Ave #9A~Crown Heights~ Brooklyn, NY
$2,090/mo~3bd~1ba~~794 Thomas S Boyland St~Brownsville~ Brooklyn, NY
$2,300/mo~2bd~1ba~~272 Throop Ave #2F~Bedford Stuyvesant~ Brooklyn, NY
$1,975/mo~2bd~1ba~~1982 Atlantic Ave #1B~Crown Heights~ Brooklyn, NY
$2,350/mo~2bd~1ba~~38 Nostrand Ave #3E~Bedford Stuyvesant~ Brooklyn, NY
$2,030/mo~2bd~1ba~~5 Westminster Rd #5A~Flatbush~ Brooklyn, NY
$1,999/mo~2bd~1ba~~248 E 54th St #A~East Flatbush~ Brooklyn, NY
$2,499/mo~2bd~1ba~~257 16th St #1L~Park Slope~ Brooklyn, NY
$2,650/mo~2bd~1ba~700 sqft~631 Grand Ave #2R~Crown Heights~ Brooklyn, NY
$2,050/mo~2bd~1ba~761 sqft~378 Rutland Rd #1~Prospect Lefferts Gardens~ Brooklyn, NY
$2,595/mo~2bd~1ba~800 sqft~348 S 4th St #4R~Williamsburg~ Brooklyn, NY
$2,000/mo~2bd~1ba~1,300 sqft~559 E 3rd St~Kensington~ Brooklyn, NY
$2,500/mo~2bd~1ba~800 sqft~423 16th St #1~Park Slope~ Brooklyn, NY
$2,600/mo~2bd~1ba~900 sqft~45 Maspeth Ave #1~Williamsburg~ Brooklyn, NY
$1,695/mo~2bd~1ba~900 sqft~54 Bay 29 St #A17~Bath Beach~ Brooklyn, NY
$2,100/mo~2bd~1ba~800 sqft~1064 Lafayette Ave #1~Bedford Stuyvesant~ Brooklyn, NY
$2,000/mo~2bd~1ba~~298 E 39th St #2~East Flatbush~ Brooklyn, NY
$2,095/mo~2bd~1ba~~551 Nostrand Ave #FR2~Bedford Stuyvesant~ Brooklyn, NY
$2,100/mo~2bd~1ba~800 sqft~Address Not Disclosed~Bensonhurst~ Brooklyn, NY
$2,700/mo~2bd~1ba~~206 Calyer St #B1~Greenpoint~ Brooklyn, NY
$2,200/mo~3bd~1ba~900 sqft~420 Van Siclen Ave #3~East New York~ Brooklyn, NY
$2,000/mo~1bd~1ba~~24 Maspeth Ave #2~Williamsburg~ Brooklyn, NY
$1,843/mo~1bd~1ba~~392 1st St #15~Park Slope~ Brooklyn, NY
